TICK: 000086 | PC: 00017 | STEP: 2 | IR: a_load_+ | A: 10 | AR: 10 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [114] | RS: [10] | MEM: read mem[10] | LATCH: DS.push | OUT: 'Hello, wo' | aload.read
TICK: 000087 | PC: 00018 | STEP: 0 | IR: a_load_+ | A: 11 | AR: 10 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [114] | RS: [10] | MEM: - | LATCH: A,PC | OUT: 'Hello, wo' | aload.increment
TICK: 000088 | PC: 00019 | STEP: 0 | IR: dup | A: 11 | AR: 10 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [114, 114] | RS: [10] | MEM: - | LATCH: DS.dup,PC | OUT: 'Hello, wo' | dup
TICK: 000089 | PC: 00019 | STEP: 1 | IR: if 34 | A: 11 | AR: 10 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [114] | RS: [10] | MEM: - | LATCH: ALU.left | OUT: 'Hello, wo' | if.test
TICK: 000090 | PC: 00024 | STEP: 0 | IR: if 34 | A: 11 | AR: 10 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [114] | RS: [10] | MEM: - | LATCH: PC | OUT: 'Hello, wo' | if.branch
TICK: 000091 | PC: 00024 | STEP: 1 | IR: store 31999 | A: 11 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [114] | RS: [10] | MEM: - | LATCH: AR | OUT: 'Hello, wo' | store.addr 31999
TICK: 000092 | PC: 00029 | STEP: 0 | IR: store 31999 | A: 11 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: write mem[31999] <- 114 | LATCH: OUT,PC | OUT: 'Hello, wor' | store.write
TICK: 000093 | PC: 00017 | STEP: 0 | IR: jmp 17 | A: 11 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC | OUT: 'Hello, wor' | jmp 17
TICK: 000094 | PC: 00017 | STEP: 1 | IR: a_load_+ | A: 11 | AR: 11 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: AR | OUT: 'Hello, wor' | aload.addr
TICK: 000095 | PC: 00017 | STEP: 2 | IR: a_load_+ | A: 11 | AR: 11 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [108] | RS: [10] | MEM: read mem[11] | LATCH: DS.push | OUT: 'Hello, wor' | aload.read
TICK: 000096 | PC: 00018 | STEP: 0 | IR: a_load_+ | A: 12 | AR: 11 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [108] | RS: [10] | MEM: - | LATCH: A,PC | OUT: 'Hello, wor' | aload.increment
TICK: 000097 | PC: 00019 | STEP: 0 | IR: dup | A: 12 | AR: 11 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [108, 108] | RS: [10] | MEM: - | LATCH: DS.dup,PC | OUT: 'Hello, wor' | dup
TICK: 000098 | PC: 00019 | STEP: 1 | IR: if 34 | A: 12 | AR: 11 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [108] | RS: [10] | MEM: - | LATCH: ALU.left | OUT: 'Hello, wor' | if.test
TICK: 000099 | PC: 00024 | STEP: 0 | IR: if 34 | A: 12 | AR: 11 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [108] | RS: [10] | MEM: - | LATCH: PC | OUT: 'Hello, wor' | if.branch
TICK: 000100 | PC: 00024 | STEP: 1 | IR: store 31999 | A: 12 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [108] | RS: [10] | MEM: - | LATCH: AR | OUT: 'Hello, wor' | store.addr 31999
TICK: 000101 | PC: 00029 | STEP: 0 | IR: store 31999 | A: 12 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: write mem[31999] <- 108 | LATCH: OUT,PC | OUT: 'Hello, worl' | store.write
TICK: 000102 | PC: 00017 | STEP: 0 | IR: jmp 17 | A: 12 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC | OUT: 'Hello, worl' | jmp 17
TICK: 000103 | PC: 00017 | STEP: 1 | IR: a_load_+ | A: 12 | AR: 12 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: AR | OUT: 'Hello, worl' | aload.addr
TICK: 000104 | PC: 00017 | STEP: 2 | IR: a_load_+ | A: 12 | AR: 12 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [100] | RS: [10] | MEM: read mem[12] | LATCH: DS.push | OUT: 'Hello, worl' | aload.read
TICK: 000105 | PC: 00018 | STEP: 0 | IR: a_load_+ | A: 13 | AR: 12 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [100] | RS: [10] | MEM: - | LATCH: A,PC | OUT: 'Hello, worl' | aload.increment
TICK: 000106 | PC: 00019 | STEP: 0 | IR: dup | A: 13 | AR: 12 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [100, 100] | RS: [10] | MEM: - | LATCH: DS.dup,PC | OUT: 'Hello, worl' | dup
